date,ipca_index,ipca_pct
2015-06-01,1.3381101766874925,0.79
2015-06-02,1.338588877442599,0.79
2015-06-03,1.3390677494499812,0.79
2015-06-04,1.3395467927709035,0.79
2015-06-05,1.3400260074666523,0.79
2015-06-08,1.340505393598536,0.79
2015-06-09,1.340984951227885,0.79
2015-06-10,1.341464680416051,0.79
2015-06-11,1.3419445812244086,0.79
2015-06-12,1.3424246537143536,0.79
2015-06-15,1.3429048979473042,0.79
2015-06-16,1.3433853139847,0.79
2015-06-17,1.3438659018880037,0.79
2015-06-18,1.3443466617186988,0.79
2015-06-19,1.3448275935382912,0.79
2015-06-22,1.345308697408309,0.79
2015-06-23,1.3457899733903025,0.79
2015-06-24,1.3462714215458433,0.79
2015-06-25,1.3467530419365257,0.79
2015-06-26,1.3472348346239655,0.79
2015-06-29,1.3477167996698012,0.79
2015-06-30,1.3481989371356926,0.79
2015-07-01,1.3485612913711569,0.62
2015-07-02,1.3489237429962488,0.62
2015-07-03,1.3492862920371431,0.62
2015-07-06,1.3496489385200223,0.62
2015-07-07,1.350011682471076,0.62
2015-07-08,1.3503745239165004,0.62
2015-07-09,1.3507374628824989,0.62
2015-07-10,1.3511004993952822,0.62
2015-07-13,1.3514636334810681,0.62
2015-07-14,1.3518268651660807,0.62
2015-07-15,1.352190194476552,0.62
2015-07-16,1.3525536214387206,0.62
2015-07-17,1.3529171460788323,0.62
2015-07-20,1.3532807684231398,0.62
2015-07-21,1.353644488497903,0.62
2015-07-22,1.354008306329389,0.62
2015-07-23,1.3543722219438716,0.62
2015-07-24,1.354736235367632,0.62
2015-07-27,1.3551003466269582,0.62
2015-07-28,1.3554645557481453,0.62
2015-07-29,1.3558288627574957,0.62
2015-07-30,1.3561932676813186,0.62
2015-07-31,1.3565577705459309,0.62
2015-08-03,1.3566997374517256,0.22
2015-08-04,1.356841719214685,0.22
2015-08-05,1.3569837158363642,0.22
2015-08-06,1.357125727318318,0.22
2015-08-07,1.3572677536621014,0.22
2015-08-10,1.35740979486927,0.22
2015-08-11,1.3575518509413793,0.22
2015-08-12,1.3576939218799848,0.22
2015-08-13,1.3578360076866423,0.22
2015-08-14,1.3579781083629079,0.22
2015-08-17,1.3581202239103378,0.22
2015-08-18,1.3582623543304881,0.22
2015-08-19,1.3584044996249154,0.22
2015-08-20,1.358546659795176,0.22
2015-08-21,1.358688834842827,0.22
2015-08-24,1.3588310247694255,0.22
2015-08-25,1.3589732295765284,0.22
2015-08-26,1.359115449265693,0.22
2015-08-27,1.3592576838384767,0.22
2015-08-28,1.359399933296437,0.22
2015-08-31,1.3595421976411322,0.22
2015-09-01,1.3598908983903168,0.54
2015-09-02,1.3602396885756463,0.54
